genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Carya,ovata,86272,2018,42.30024,-71.12606,33,118,125,156,125,274,282,282,46,365,Treespotters
Carya,ovata,86272,2019,42.30024,-71.12606,33,108,121,145,124,260,264,264,46,365,Treespotters
Carya,ovata,86272,2020,42.30024,-71.12606,33,125,129,167,134,273,NA,273,46,366,Treespotters
Fagus,grandifolia,86273,2016,42.298065,-71.122131,21,101,111,177,115,282,282,282,46,366,Treespotters
Fagus,grandifolia,86274,2016,42.298065,-71.122131,21,115,111,NA,115,282,290,290,46,366,Treespotters
Fagus,grandifolia,86274,2017,42.298065,-71.122131,21,108,118,159,117,278,278,278,46,365,Treespotters
Fagus,grandifolia,86274,2019,42.298065,-71.122131,21,107,109,145,115,272,285,285,46,365,Treespotters
Fagus,grandifolia,86274,2020,42.298065,-71.122131,21,114,117,168,120,271,271,271,46,366,Treespotters
Fagus,grandifolia,86275,2016,42.298065,-71.122131,21,101,111,175,115,281,281,281,46,366,Treespotters
Fagus,grandifolia,86275,2017,42.298065,-71.122131,21,103,110,139,112,253,293,293,46,365,Treespotters
Fagus,grandifolia,86276,2016,42.298065,-71.122131,21,115,NA,NA,118,282,290,290,46,366,Treespotters
Fagus,grandifolia,86276,2017,42.298065,-71.122131,21,108,118,152,117,278,278,278,46,365,Treespotters
Fagus,grandifolia,86276,2019,42.298065,-71.122131,21,115,121,154,119,285,NA,285,46,365,Treespotters
Fagus,grandifolia,86276,2020,42.298065,-71.122131,21,120,NA,NA,126,276,276,276,46,366,Treespotters
Fagus,grandifolia,135911,2017,42.298065,-71.122131,21,109,113,160,113,256,256,256,46,365,Treespotters
Hamamelis,virginiana,166776,2019,42.302277,-71.125732,36,109,271,166,115,230,251,251,46,365,Treespotters
Hamamelis,virginiana,166776,2020,42.302277,-71.125732,36,116,183,156,121,227,NA,227,46,366,Treespotters
Hamamelis,virginiana,166777,2019,42.302277,-71.125732,36,109,271,168,109,220,269,269,46,365,Treespotters
Hamamelis,virginiana,166778,2019,42.302277,-71.125732,36,109,267,168,115,244,269,269,46,365,Treespotters
Hamamelis,virginiana,166779,2019,42.302277,-71.125732,36,109,269,160,111,210,257,257,46,365,Treespotters
Hamamelis,virginiana,166779,2020,42.302277,-71.125732,36,113,227,156,122,227,NA,227,46,366,Treespotters
Hamamelis,virginiana,166780,2019,42.302277,-71.125732,36,109,267,160,111,230,261,261,46,365,Treespotters
Hamamelis,virginiana,166780,2020,42.302277,-71.125732,36,106,183,156,122,207,NA,207,46,366,Treespotters
Populus,deltoides,86278,2016,42.296417,-71.128052,26,110,NA,NA,136,286,265,265,46,366,Treespotters
Populus,deltoides,86278,2017,42.296417,-71.128052,26,107,109,125,124,250,247,247,46,365,Treespotters
