"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American basswood",2019,"Open flowers",87762,179.4,178,5,166,190,7
"American basswood",2019,"Open flowers",87763,184,184,2,178,190,6
"American basswood",2019,"Pollen release (flowers)",86289,208.125,209,8,183,245,35.75
"American basswood",2019,"Pollen release (flowers)",87757,203.625,209,8,183,229,25.75
"American basswood",2019,"Pollen release (flowers)",87763,191.333333333333,191,3,191,192,0.5
"American basswood",2019,"Recent fruit or seed drop",86289,258.307692307692,262,26,206,300,38.75
"American basswood",2019,"Recent fruit or seed drop",86290,270.583333333333,278.5,12,218,314,30
"American basswood",2019,"Recent fruit or seed drop",87757,235.454545454545,245.5,22,140,288,64.75
"American basswood",2019,"Recent fruit or seed drop",87762,279.615384615385,285,13,224,314,27
"American basswood",2019,"Recent fruit or seed drop",87763,269.647058823529,279,17,191,326,55
"American basswood",2019,"Ripe fruits",86289,259.333333333333,267,21,206,300,35
"American basswood",2019,"Ripe fruits",86290,223.625,266,24,73,333,164.5
"American basswood",2019,"Ripe fruits",87757,251.136363636364,257,22,173,321,47.5
"American basswood",2019,"Ripe fruits",87762,232.814814814815,270,27,73,333,166.5
"American basswood",2019,"Ripe fruits",87763,275.904761904762,285,21,191,333,47
"American basswood",2020,"budburst",86289,122.225806451613,127,31,54,141,14
"American basswood",2020,"budburst",86290,125,126,6,112,133,9.75
"American basswood",2020,"budburst",87757,128.538461538462,127,26,116,141,9.75
"American basswood",2020,"budburst",87762,124.769230769231,126,13,107,136,13
"American basswood",2020,"budburst",87763,121.111111111111,120,9,108,133,13
"American basswood",2020,"Colored leaves",86289,283.181818181818,281,11,261,315,18.5
"American basswood",2020,"Colored leaves",86290,260.571428571429,264,35,178,313,51
"American basswood",2020,"Colored leaves",87757,280.181818181818,281,11,260,308,25
"American basswood",2020,"Colored leaves",87762,266.333333333333,266,36,213,319,42.5
"American basswood",2020,"Colored leaves",87763,258.774193548387,264,31,206,301,43
"American basswood",2020,"flowers",86289,169.324324324324,164,37,147,250,26
"American basswood",2020,"flowers",86290,163.875,163,16,133,197,36
"American basswood",2020,"flowers",87757,159.375,156.5,32,126,190,23
"American basswood",2020,"flowers",87762,173.555555555556,178,9,155,183,11
"American basswood",2020,"flowers",87763,160,161,18,133,183,28
"American basswood",2020,"Fruits",86289,238.52,231,25,188,294,49
"American basswood",2020,"Fruits",86290,168.377777777778,175,45,53,320,94
"American basswood",2020,"Fruits",87757,238.904761904762,236,21,188,294,43
"American basswood",2020,"Fruits",87762,196.978723404255,220,47,53,325,135.5
"American basswood",2020,"Fruits",87763,170.214285714286,175,42,53,311,92.25
"American basswood",2020,"Increasing leaf size",86289,143.771428571429,140,35,125,207,20.5
"American basswood",2020,"Increasing leaf size",86290,138.125,136.5,8,126,153,15.75
"American basswood",2020,"Increasing leaf size",87757,143.470588235294,137.5,34,125,207,22.75
"American basswood",2020,"Increasing leaf size",87762,134.181818181818,133,11,126,147,10.5
"American basswood",2020,"Increasing leaf size",87763,133.6,133,10,119,147,17.75
"American basswood",2020,"leaf drop",86289,290.846153846154,289,13,261,320,33
"American basswood",2020,"leaf drop",86290,264.620689655172,270,29,178,313,41
"American basswood",2020,"leaf drop",87757,280.916666666667,284,12,250,312,34
"American basswood",2020,"leaf drop",87762,267.1875,270.5,32,213,319,49.25
"American basswood",2020,"leaf drop",87763,270.464285714286,270.5,28,229,305,31.25
"American basswood",2020,"leafout",86289,180.623529411765,163,85,125,315,66
"American basswood",2020,"leafout",86290,220.723076923077,220,65,126,313,93
"American basswood",2020,"leafout",87757,180.25641025641,162.5,78,125,308,69.75
"American basswood",2020,"leafout",87762,213.543209876543,211,81,126,319,100
"American basswood",2020,"leafout",87763,209.764705882353,204.5,68,119,301,94.5
"American basswood",2020,"Open flowers",86289,186,187,8,157,207,9
"American basswood",2020,"Open flowers",86290,185.833333333333,189,6,175,197,11.25
"American basswood",2020,"Open flowers",87757,182.571428571429,181,7,177,190,5
"American basswood",2020,"Open flowers",87762,180.4,180,5,178,183,5
"American basswood",2020,"Open flowers",87763,168.666666666667,183,3,140,183,21.5
"American basswood",2020,"Pollen release (flowers)",86289,207,207,1,207,207,0
"American basswood",2020,"Pollen release (flowers)",87757,184,184,2,181,187,3
"American basswood",2020,"Recent fruit or seed drop",86289,230.263157894737,231,19,156,287,48.5
"American basswood",2020,"Recent fruit or seed drop",86290,212.333333333333,216,18,175,257,37.5
"American basswood",2020,"Recent fruit or seed drop",87757,239.5625,243,16,188,281,39.25
"American basswood",2020,"Recent fruit or seed drop",87762,247.238095238095,244,21,206,305,44
"American basswood",2020,"Recent fruit or seed drop",87763,217.6,213,15,168,299,43.5
"American basswood",2020,"Ripe fruits",86289,245.238095238095,250,21,188,294,50
"American basswood",2020,"Ripe fruits",86290,162.428571428571,175,35,53,320,99
"American basswood",2020,"Ripe fruits",87757,247.647058823529,251,17,188,294,36
"American basswood",2020,"Ripe fruits",87762,191.8,216.5,40,53,325,147.25
"American basswood",2020,"Ripe fruits",87763,164.774193548387,168,31,53,311,112
"American beech",2015,"budburst",86276,125,125,1,125,125,0
"American beech",2015,"budburst",86277,125,125,1,125,125,0
"American beech",2015,"Colored leaves",86273,305.666666666667,311,3,295,311,8
"American beech",2015,"Colored leaves",86274,295,295,1,295,295,0
"American beech",2015,"Colored leaves",86275,303,303,2,295,311,8
"American beech",2015,"Colored leaves",86276,295,295,1,295,295,0
"American beech",2015,"Colored leaves",86277,286.5,286.5,2,278,295,8.5
"American beech",2015,"flowers",86273,125,125,1,125,125,0
"American beech",2015,"flowers",86275,125,125,1,125,125,0
"American beech",2015,"flowers",86276,125,125,1,125,125,0
"American beech",2015,"flowers",86277,125,125,1,125,125,0
"American beech",2015,"Fruits",86273,311,311,1,311,311,0
"American beech",2015,"Increasing leaf size",86273,125,125,1,125,125,0
"American beech",2015,"Increasing leaf size",86274,125,125,1,125,125,0
"American beech",2015,"Increasing leaf size",86275,154,154,2,125,183,29
"American beech",2015,"Increasing leaf size",86276,125,125,1,125,125,0
"American beech",2015,"Increasing leaf size",86277,125,125,1,125,125,0
"American beech",2015,"leaf drop",86273,311,311,2,311,311,0
"American beech",2015,"leaf drop",86275,311,311,1,311,311,0
"American beech",2015,"leafout",86273,211,177,13,125,311,113
"American beech",2015,"leafout",86274,196.555555555556,169,9,125,295,103
"American beech",2015,"leafout",86275,202.666666666667,176,12,125,311,100.5
"American beech",2015,"leafout",86276,202.5,179,8,125,295,104
"American beech",2015,"leafout",86277,192.818181818182,175,11,125,295,60.5
"American beech",2015,"Open flowers",86273,125,125,1,125,125,0
"American beech",2015,"Open flowers",86275,125,125,1,125,125,0
"American beech",2015,"Open flowers",86276,125,125,1,125,125,0
"American beech",2015,"Open flowers",86277,125,125,1,125,125,0
"American beech",2015,"Recent fruit or seed drop",86273,311,311,2,311,311,0
"American beech",2015,"Ripe fruits",86273,311,311,1,311,311,0
"American beech",2016,"budburst",86273,113.884615384615,115,26,93,130,11.75
"American beech",2016,"budburst",86274,122.8,122,15,115,132,11.5
"American beech",2016,"budburst",86275,123.772727272727,118.5,44,97,168,19
"American beech",2016,"budburst",86276,122.5,122,16,115,132,10.25
"American beech",2016,"budburst",86277,125.225806451613,119,31,99,168,14.5
"American beech",2016,"Colored leaves",86273,300.571428571429,305,7,282,313,15
"American beech",2016,"Colored leaves",86274,300.571428571429,305,7,282,313,15
"American beech",2016,"Colored leaves",86275,291.466666666667,297,15,252,316,26
"American beech",2016,"Colored leaves",86276,300.571428571429,305,7,282,313,15
"American beech",2016,"Colored leaves",86277,253,252,5,233,268,8
"American beech",2016,"flowers",86273,122.428571428571,118,21,111,150,12
"American beech",2016,"flowers",86274,118.615384615385,115,13,111,130,9
"American beech",2016,"flowers",86275,125.875,123,32,111,154,13.25
"American beech",2016,"flowers",86276,124.166666666667,127,6,111,132,10.5
"American beech",2016,"flowers",86277,123.608695652174,121,23,111,154,13.5
"American beech",2016,"Fruits",86273,217.055555555556,218,18,147,290,69.5
"American beech",2016,"Fruits",86274,173,173,2,147,199,26
"American beech",2016,"Fruits",86275,201.162790697674,196,43,139,290,91
"American beech",2016,"Fruits",86276,173,173,2,147,199,26
"American beech",2016,"Fruits",86277,198.333333333333,196,33,130,268,72
"American beech",2016,"Increasing leaf size",86273,127.95,125.5,20,115,150,16.25
"American beech",2016,"Increasing leaf size",86274,128.736842105263,127,19,115,150,17
"American beech",2016,"Increasing leaf size",86275,128.12,127,25,115,150,16
"American beech",2016,"Increasing leaf size",86276,127.583333333333,127,12,118,142,10.5
"American beech",2016,"Increasing leaf size",86277,127.2,125.5,20,115,168,13.5
"American beech",2016,"leaf drop",86273,303.25,305.5,8,282,322,16.25
"American beech",2016,"leaf drop",86274,306.285714285714,306,7,290,322,11
"American beech",2016,"leaf drop",86275,291.529411764706,297,17,252,322,28
"American beech",2016,"leaf drop",86276,303.666666666667,305.5,6,290,313,10.75
"American beech",2016,"leafout",86273,182.152542372881,154,59,115,313,102
"American beech",2016,"leafout",86274,184.666666666667,154,57,115,313,101
"American beech",2016,"leafout",86275,187.010752688172,166,93,115,316,103
"American beech",2016,"leafout",86276,189.961538461538,164.5,52,118,313,103
"American beech",2016,"leafout",86277,170.90625,155.5,64,115,268,74.75
"American beech",2016,"Open flowers",86273,122.5,122,12,115,132,9.5
"American beech",2016,"Open flowers",86274,130,133,6,118,139,17.25
"American beech",2016,"Open flowers",86275,126.791666666667,125.5,24,115,154,12
