"Common_Name","Individual_ID","Scientific_Names","indiv_obs#","spp_obs#","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name","route_obs#"
"red maple",166764,"Acer rubrum",26,146,"567-2008*B","Tree 6",42.30387168,-71.12031406,8.6,"Maple Route",379
"red maple",166766,"Acer rubrum",19,146,"525-2009*A","Tree 8",42.30320004,-71.12119722,55.7,"Maple Route",379
"red maple",166767,"Acer rubrum",25,146,"524-2009*A","Tree 9",42.30316247,-71.12125376,64.2,"Maple Route",379
"highbush blueberry",166769,"Vaccinium corymbosum",28,148,"285-2007*E","Tree 2",42.30474282,-71.12165296,NA,"Shrub Route",505
"highbush blueberry",166773,"Vaccinium corymbosum",23,148,"529-2009*A","Tree 3",42.30327357,-71.1211043,NA,"Shrub Route",505
"highbush blueberry",166774,"Vaccinium corymbosum",20,148,"530-2009*A","Tree 4",42.30325355,-71.12108527,NA,"Shrub Route",505
"highbush blueberry",166775,"Vaccinium corymbosum",41,148,"657-2008*A","Tree 5",42.30216796,-71.12054823,NA,"Shrub Route",505
"American witchhazel",166777,"Hamamelis virginiana",36,174,"22947*C","Tree 11",42.29994906,-71.12512975,5.4,"Shrub Route",505
"American witchhazel",166778,"Hamamelis virginiana",31,174,"493-2009*A","Tree 12",42.29979127,-71.12506756,7.6,"Shrub Route",505
"American witchhazel",166779,"Hamamelis virginiana",31,174,"14693*A","Tree 13",42.29867372,-71.12325239,7.4,"Shrub Route",505
