"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American basswood",2019,"Recent fruit or seed drop",86289,262.058823529412,267,17,206,288,82,21
"American basswood",2019,"Recent fruit or seed drop",86290,282.5,282.5,2,279,286,7,3.5
"American basswood",2019,"Recent fruit or seed drop",87757,258,260,7,209,288,79,31.5
"American basswood",2019,"Recent fruit or seed drop",87762,294.25,296,4,279,306,27,21.75
"American basswood",2019,"Recent fruit or seed drop",87763,300.833333333333,306,6,279,314,35,21
"American basswood",2019,"Ripe fruits",86289,253.8,260,10,206,288,82,40.25
"American basswood",2019,"Ripe fruits",86290,264.2,286,5,128,314,186,35
"American basswood",2019,"Ripe fruits",87757,259.625,265.5,8,209,288,79,24.75
"American basswood",2019,"Ripe fruits",87762,300.833333333333,306,6,279,314,35,21
"American basswood",2019,"Ripe fruits",87763,272.222222222222,286,9,191,314,123,44
"American basswood",2020,"budburst",86289,128.95652173913,127,23,119,141,22,9
"American basswood",2020,"budburst",86290,126,126,2,126,126,0,0
"American basswood",2020,"budburst",87757,126.952380952381,126,21,116,135,19,3
"American basswood",2020,"budburst",87762,125.8,126,10,107,136,29,9
"American basswood",2020,"budburst",87763,117.5,116.5,6,108,126,18,12.25
"American basswood",2020,"Colored leaves",86289,281.4,275,5,272,297,25,15
"American basswood",2020,"Colored leaves",86290,274.95652173913,271,23,236,313,77,38.5
"American basswood",2020,"Colored leaves",87757,276,273,5,260,297,37,28
"American basswood",2020,"Colored leaves",87762,271.739130434783,271,23,236,306,70,33.5
"American basswood",2020,"Colored leaves",87763,265.791666666667,269,24,220,301,81,25
"American basswood",2020,"flowers",86289,165.875,163.5,32,147,190,43,22.5
"American basswood",2020,"flowers",86290,171.25,173.5,4,155,183,28,21.25
"American basswood",2020,"flowers",87757,165.8,163,25,148,190,42,22
"American basswood",2020,"flowers",87762,179.75,179,4,178,183,5,2.75
"American basswood",2020,"flowers",87763,167.428571428571,164,7,147,183,36,22
"American basswood",2020,"Fruits",86289,235.692307692308,229,13,199,289,90,35
"American basswood",2020,"Fruits",86290,194.466666666667,206,15,110,236,126,41
"American basswood",2020,"Fruits",87757,232.818181818182,229,11,188,261,73,36.5
"American basswood",2020,"Fruits",87762,213.166666666667,224.5,12,110,258,148,27.25
"American basswood",2020,"Fruits",87763,202.2,198,5,190,220,30,9
"American basswood",2020,"Increasing leaf size",86289,135.48,135,25,125,157,32,14
"American basswood",2020,"Increasing leaf size",86290,129.5,129.5,4,126,133,7,7
"American basswood",2020,"Increasing leaf size",87757,134.863636363636,133.5,22,125,157,32,14
"American basswood",2020,"Increasing leaf size",87762,131.333333333333,133,9,126,140,14,7
